source_file,date,description,amount,suggested_category,confidence,reason
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-22,BH* BETTERHELP BETTERHELP.CO CA,65.0,Uncategorized,0.158427894115448,Low similarity (best=0.158)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-24,SQ *HOODA HALAL Levittown NY,25.59,Uncategorized,0.1157289668917656,Low similarity (best=0.116)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-23,LAGRANGE VALERO LAGRANGEVILLE NY,3.23,Uncategorized,0.1517098993062973,Low similarity (best=0.152)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-25,JUBILEE MARKET PLACE NEW YORK NY,34.69,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
eStmt_2025-12-05.pdf,2050-11-10,11/11 PAYMENT FROM CHK 7256 CONF#qxqwfz9ey 3019 4249,-176.01,Uncategorized,0.30981215834617615,Low similarity (best=0.310)
eStmt_2025-12-05.pdf,2050-11-21,11/24 HARVEST MOON FARM MARKET NORTH SALEM NY 6315 4249,-16.26,Uncategorized,0.2517841160297394,Low similarity (best=0.252)
eStmt_2025-12-05.pdf,2050-11-28,11/28 PAYMENT FROM CHK 7256 CONF#M99020090714 1549 4249,-1007.32,Uncategorized,0.38497745990753174,Low similarity (best=0.385)
eStmt_2025-12-05.pdf,2050-12-02,12/02 PAYMENT FROM CHK 7256 CONF#1dpm7fg06 2253 4249,-1008.78,Uncategorized,0.3005208969116211,Low similarity (best=0.301)
eStmt_2025-12-05.pdf,2050-11-05,11/06 AMAZON PRIME*TV1AY3NT3 Amzn.com/billWA 2333 4249,8.15,Uncategorized,0.28408896923065186,Low similarity (best=0.284)
eStmt_2025-12-05.pdf,2050-11-07,11/08 BH* BETTERHELP BETTERHELP.COCA 1512 4249,65.0,Uncategorized,0.16966596245765686,Low similarity (best=0.170)
eStmt_2025-12-05.pdf,2050-11-08,11/10 TST* GAI CHICKEN & RICE -646-476-6565 NY 4988 4249,37.09,Uncategorized,0.17507660388946533,Low similarity (best=0.175)
eStmt_2025-12-05.pdf,2050-11-09,11/10 CLUELY WWW.CLUELY.COGA 5878 4249,20.0,Uncategorized,0.11175262928009033,Low similarity (best=0.112)
eStmt_2025-12-05.pdf,2050-11-10,11/11 CHIPOTLE MEX GR ONLINE TEAM-BANKING@CA 0609 4249,12.36,Uncategorized,0.18797951936721802,Low similarity (best=0.188)
eStmt_2025-12-05.pdf,2050-11-11,11/12 UBER *EATS HELP.UBER.COMCA 9474 4249,14.22,Uncategorized,0.20742088556289673,Low similarity (best=0.207)
eStmt_2025-12-05.pdf,2050-11-11,11/12 NUMEROUS.AI NUMEROUS.AI DC 1477 4249,59.0,Uncategorized,0.11666153371334076,Low similarity (best=0.117)
eStmt_2025-12-05.pdf,2050-11-13,11/14 Amazon.com*B82EF9PV0 Amzn.com/billWA 6560 4249,23.48,Uncategorized,0.26016736030578613,Low similarity (best=0.260)
eStmt_2025-12-05.pdf,2050-11-13,11/14 TST* GAI CHICKEN & RICE -646-476-6565 NY 7138 4249,37.93,Uncategorized,0.20180967450141907,Low similarity (best=0.202)
eStmt_2025-12-05.pdf,2050-11-13,11/14 SQ *COFFEE PROJECT NEW YONew York NY 6918 4249,10.34,Uncategorized,0.21084046363830566,Low similarity (best=0.211)
eStmt_2025-12-05.pdf,2050-11-13,11/15 TST*TIN BUILDING QSRS New York NY 8373 4249,15.25,Uncategorized,0.22302855551242828,Low similarity (best=0.223)
eStmt_2025-12-05.pdf,2050-11-14,11/15 BH* BETTERHELP BETTERHELP.COCA 8867 4249,65.0,Uncategorized,0.16976144909858704,Low similarity (best=0.170)
eStmt_2025-12-05.pdf,2050-11-15,11/15 IPIC* NEW YORK WWW.IPIC.COM FL 8828 4249,39.8,Uncategorized,0.39149537682533264,Low similarity (best=0.391)
eStmt_2025-12-05.pdf,2050-11-15,11/15 GRUBHUB*EATALYNYCDOWNT GRUBHUB.COM NY 2155 4249,54.03,Uncategorized,0.1801283359527588,Low similarity (best=0.180)
eStmt_2025-12-05.pdf,2050-11-15,11/17 IPIC* FULTON MARKET 121-27768272 NY 2635 4249,27.35,Uncategorized,0.2633308172225952,Low similarity (best=0.263)
eStmt_2025-12-05.pdf,2050-11-15,11/17 SQ *STOUT MARKETS INC New York NY 5093 4249,39.2,Uncategorized,0.24562160670757294,Low similarity (best=0.246)
eStmt_2025-12-05.pdf,2050-11-16,11/17 KRISPY KREME #1937 NEW YORK NY 1159 4249,6.18,Uncategorized,0.1847177892923355,Low similarity (best=0.185)
eStmt_2025-12-05.pdf,2050-11-16,11/17 THE LONG ROOM NEW YORK NY 0750 4249,48.97,Uncategorized,0.12776939570903778,Low similarity (best=0.128)
eStmt_2025-12-05.pdf,2050-11-16,11/17 THE ELGIN NEW YORK NY 7400 4249,195.89,Uncategorized,0.21733742952346802,Low similarity (best=0.217)
eStmt_2025-12-05.pdf,2050-11-16,11/17 TST*LOS TACOS NO. 1 - GR New York NY 4522 4249,23.62,Uncategorized,0.17617617547512054,Low similarity (best=0.176)
eStmt_2025-12-05.pdf,2050-11-16,11/17 TRADERMATH.ORG BREDA 4734 4249,44.95,Uncategorized,0.22925810515880585,Low similarity (best=0.229)
eStmt_2025-12-05.pdf,2050-11-17,11/18 UBER *EATS HELP.UBER.COMCA 1890 4249,51.4,Uncategorized,0.2381434291601181,Low similarity (best=0.238)
eStmt_2025-12-05.pdf,2050-11-17,11/19 PY *MEZEH NEW YORK NY 8637 4249,18.4,Uncategorized,0.20143389701843262,Low similarity (best=0.201)
eStmt_2025-12-05.pdf,2050-11-18,11/19 CHIPOTLE 1341 NEW YORK NY 8074 4249,24.71,Uncategorized,0.23287951946258545,Low similarity (best=0.233)
eStmt_2025-12-05.pdf,2050-11-21,11/22 BH* BETTERHELP BETTERHELP.COCA 9292 4249,65.0,Uncategorized,0.12009154260158539,Low similarity (best=0.120)
eStmt_2025-12-05.pdf,2050-11-21,11/24 HARVEST MOON FARM MARKET NORTH SALEM NY 6302 4249,43.2,Uncategorized,0.25043582916259766,Low similarity (best=0.250)
eStmt_2025-12-05.pdf,2050-11-21,11/24 HARVEST MOON FARM MARKET NORTH SALEM NY 6328 4249,11.92,Uncategorized,0.24546578526496887,Low similarity (best=0.245)
eStmt_2025-12-05.pdf,2050-11-22,11/24 KILLINGTON DELI & MA KILLINGTON VT 9109 4249,34.95,Uncategorized,0.14194074273109436,Low similarity (best=0.142)
eStmt_2025-12-05.pdf,2050-11-22,11/24 VT-DLC/KILLINGTON DELI & KILLINGTON VT 7983 4249,31.94,Uncategorized,0.18926167488098145,Low similarity (best=0.189)
eStmt_2025-12-05.pdf,2050-11-22,11/24 THE SUNUP BAKERY KILLINGTON VT 0526 4249,48.54,Uncategorized,0.18737229704856873,Low similarity (best=0.187)
eStmt_2025-12-05.pdf,2050-11-22,11/24 THE FOUNDRY AT SUMMIT PO KILLINGTON VT 9419 4249,225.85,Uncategorized,0.14030468463897705,Low similarity (best=0.140)
eStmt_2025-12-05.pdf,2050-11-23,11/24 SQ *SUGAR&SPICE Mendon VT 2557 4249,86.57,Uncategorized,0.17155295610427856,Low similarity (best=0.172)
eStmt_2025-12-05.pdf,2050-11-24,11/24 UBER *EATS HELP.UBER.COMCA 6364 4249,52.99,Uncategorized,0.21609222888946533,Low similarity (best=0.216)
eStmt_2025-12-05.pdf,2050-11-24,11/25 UBER *EATS HELP.UBER.COMCA 5005 4249,0.97,Uncategorized,0.22986695170402527,Low similarity (best=0.230)
eStmt_2025-12-05.pdf,2050-11-27,11/28 SP GYMSHARK INC US.CHECKOUT.GCO 1586 4249,83.0,Uncategorized,0.2699691653251648,Low similarity (best=0.270)
eStmt_2025-12-05.pdf,2050-11-27,11/28 SQ *LE CAFE COFFEE New York NY 9999 4249,8.17,Uncategorized,0.15274667739868164,Low similarity (best=0.153)
eStmt_2025-12-05.pdf,2050-11-28,11/29 PARAMOUNT+ 888-274-5343 CA 4900 4249,12.99,Uncategorized,0.22555270791053772,Low similarity (best=0.226)
eStmt_2025-12-05.pdf,2050-11-28,11/29 BH* BETTERHELP BETTERHELP.COCA 1500 4249,65.0,Uncategorized,0.18701927363872528,Low similarity (best=0.187)
eStmt_2025-12-05.pdf,2050-11-28,11/29 GANSEVOORT MARKET NEW YORK NY 9201 4249,21.73,Uncategorized,0.25963789224624634,Low similarity (best=0.260)
eStmt_2025-12-05.pdf,2050-11-29,12/01 UBER *EATS HELP.UBER.COMCA 7536 4249,35.47,Uncategorized,0.19694969058036804,Low similarity (best=0.197)
eStmt_2025-12-05.pdf,2050-11-29,12/01 TST*NORMA GASTRONOMIA SI New York NY 6727 4249,70.88,Uncategorized,0.32455742359161377,Low similarity (best=0.325)
eStmt_2025-12-05.pdf,2050-11-30,12/01 PAYPAL *PAIRADIZE 091579259891 4395 4249,190.87,Uncategorized,0.21496522426605225,Low similarity (best=0.215)
eStmt_2025-12-05.pdf,2050-11-30,12/02 TST*DIM SUM PALACE - FIN New York NY 9245 4249,134.63,Uncategorized,0.1753375381231308,Low similarity (best=0.175)
eStmt_2025-12-05.pdf,2050-12-03,12/04 ESPN 800-7271800 NY 8082 4249,12.99,Uncategorized,0.15957385301589966,Low similarity (best=0.160)
eStmt_2025-12-05.pdf,2050-12-05,12/05 INTEREST CHARGED ON PURCHASES,0.0,Uncategorized,0.41232675313949585,Low similarity (best=0.412)
eStmt_2025-12-05.pdf,2050-12-05,12/05 INTEREST CHARGED ON BALANCE TRANSFERS,0.0,Uncategorized,0.3633390963077545,Low similarity (best=0.363)
eStmt_2025-12-05.pdf,2050-12-05,12/05 INTEREST CHARGED ON DIR DEP&CHK CASHADV,0.0,Uncategorized,0.31389668583869934,Low similarity (best=0.314)
eStmt_2025-12-05.pdf,2050-12-05,12/05 INTEREST CHARGED ON BANK CASH ADVANCES,0.0,Uncategorized,0.36310163140296936,Low similarity (best=0.363)
